,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s)
227,4RRFXQ,,1,fam,barrier-jump,0.9338968688323589,59.631,0.191
228,4RRFXQ,,2,fam,barrier-jump,0.9498368107806822,44.704,2.847
229,4RRFXQ,,3,fam,barrier-jump,0.9234095311233985,51.756,7.105
230,4RRFXQ,,4,fam,barrier-jump,0.9114231696615669,31.873,3.405
231,4RRFXQ,,5,fam,barrier-jump,0.8761931628429244,13.301,2.417
232,4RRFXQ,,6,fam,barrier-jump,0.9331707851444674,42.031,7.344
233,4RRFXQ,,7,testA,barrier-jump,0.9234099022514312,52.177,3.694
234,4RRFXQ,,8,testB,barrier-jump,0.9167737207756746,9.484,4.458
235,4RRFXQ,,9,testA,barrier-jump,0.9478462612353309,5.711,3.393
236,4RRFXQ,,10,testB,barrier-jump,0.9255279343052687,7.325,3.088
